source,target
"Kim,Yongjoo","Graetzel,Michael"
"Yin,Zun-Dong","Zhang,Wei"
"Li,Li","Liu,Xiao"
"Qiao,Min","Liu,Wei"
"Liu,Ping","Wang,Wei"
"Tian,He","Liu,Yang"
"Zhao,Yingze","Zhang,Wei"
"Wang,Jun","Zhang,Zhonghua"
"Wang,Jun","Fernandez-Pedrosa,Victoria"
"Li,Wei","Han,Yilong"
"Chaplin-Kramer,Rebecca","Zhang,Wei"
"Zhang,Wei","Shi,Yi"
"Anaya,Miguel","Zhang,Wei"
"Li,Jun","Xie,Zhiwei"
"Zhang,Wei","Zhao,Zengdian"
"Xiong,Ying","Wang,Jing"
"Zhou,Chen","Zhang,Jing"
"Chen,Yongzheng","Wang,Jing"
"Li,Jing","Chu,Yiwei"
"He,Zheng-Quan","Li,Wei"
"Wang,Wei","Wong,Nai-Kei"
"Wang,Jing","Zhang,Congde"
"Li,Wei","Tong,Yan"
"Liu,Yang","Wen,Ping"
"Wang,Jing","Daudi,Arsalan"
"Qiao,Yuanyuan","Li,Jun"
"Egholm,Michael","Wang,Jun"
"Li,Jun","Han,Chiao-Chuan"
"Wu,Ping","Li,Jun"
"Wang,Renxi","Li,Yan"
"Ye,Yu-Xuan","Wang,Jun"
"Antunes,Agostinho","Liu,Yang"
"Wang,Jing","Wang,Li-Li"
"Li,Wei","Chen,Ping"
"Liu,Wei","Bi,Yufang"
"Wang,Jun","Smit,Sandra"
"Li,Wei","Schulz,VincentP."
"Liu,Wei","Xu,Xun"
"Xu,Fei","Wang,Wei"
"Gusak,Viktoria","Graetzel,Michael"
"Li,Jun","Chen,Yingjun"
"Li,Wei","Lian,Qizhou"
"Li,Jun","Zhang,Guozhen"
"Li,Wei","Peng,Shushi"
"Zhang,Jing","Chong,ChunYin"
"Li,Xiaolu","Li,Jing"
"Zhang,Yanhong","Wang,Xin"
"Ma,Xiaolong","Wang,Wei"
"Wang,Jun","Zhan,Qimin"
"Schreier,Marcel","Graetzel,Michael"
"Li,Wei","Lifshitz,Yeshayahu"
"Weierstall,Uwe","Liu,Wei"
"Xu,Xiaoqiang","Wang,Jun"
"Zhang,Lei","Farre,Yoann"
"Li,Jun","Wang,Jian"
"Zhang,Wei","Zheng,Deyou"
"Zheng,Qiumei","Wang,Jun"
"Cheng,Shifeng","Wang,Jun"
"Vlachopoulos,Nick","Graetzel,Michael"
"Liu,Wei","Cui,Jing"
"Steier,Ludmilla","Graetzel,Michael"
"Zhang,Wei","Xiao,Lin"
"Cheng,Xiyue","Zhang,Wei"
"Viruela,Rafael","Graetzel,Michael"
"Ren,Jingzheng","Zhang,Wei"
"Gerbaldi,Claudio","Graetzel,Michael"
"Sun,LinLin","Wang,Jing"
"Zhang,Lei","Niu,Qian"
"Zhang,Wei","Song,Xingzhi"
"Liu,Guansheng","Liu,Yang"
"Liu,Qiaozhen","Li,Yan"
"Zhou,Hua","Li,Li"
"Ray,DavidA.","Wang,Jun"
"Wang,Wei","Chen,Li"
"Li,Yan","Schneider,Conny"
"Zhang,Wei","Hu,Changchang"
"Ehrlich,S.Dusko","Wang,Jun"
"Wong,Gary","Li,Wei"
"Zhang,Yi","Wang,Jie"
"Kim,SungSoo","Wang,Jun"
"Liu,Yang","Song,Yonghui"
"Wang,Li","Wang,Jing"
"Liu,Yang","Liu,Shiping"
"Li,Li","Cai,Huimin"
"Zhang,Lei","Xia,DannyF."
"Li,Xin","Zhao,Yuanyuan"
"Ray,AmeliaW.","Li,Jun"
"Wang,Jun","Bai,Yuling"
"Zhang,Wei","Xie,Tao"
"Liu,Yang","Liang,Suxia"
"Nori,Franco","You,J.Q."
"Li,Jun","Clark,KevinR."
"Xu,Zufei","Li,Jun"
"Li,Jun","Takayama-Muromachi,Eiji"
"Liu,Yang","Schubert,Mikkel"
"Cai,Xianghang","Wang,Jun"
"Pan,Jingcao","Li,Jun"
"Rossetti,Maura","Wang,Wei"
"Zhang,Jing","Gu,Tian-Peng"
"Wang,Xin","Dong,Chenlong"
"Zhang,Wei","Abeshouse,Adam"
"Li,Jun","Andrez,Jean-Christophe"
"Yang,Wei","Wang,Jun"
"Wang,Wei","Wang,Weilin"
"Wang,Jing","Cheung,AliceM.S."
"Gong,Lihu","Liu,Wei"
"Liu,Yang","Ma,Ze"
"Zhao,Hong-Cui","Li,Li"
"Wang,Jun","Yao,Hui"
"Niu,Ruiting","Liu,Wei"
"Liu,Zun-Qi","Liu,Yang"
"Zhang,Wei","Xie,Jia-Zheng"
"Al-Muhtaseb,ShaheenA.","Graetzel,Michael"
"Liu,Yang","Li,Si-Si"
"Wang,Jun","Fu,Jingyuan"
"Azam,Sarwar","Wang,Jun"
"Zhang,Wei","Schumacher,StevenE."
"Ma,Haitao","Wang,Jing"
"Liu,Yang","Ye,Xin"
"Wang,Shuo","Wang,Xin"
"Li,Yan","Sedmera,David"
"Sui,Yang","Liu,Wei"
"Zhang,Lei","Liu,Wei"
"Zhang,Lei","Liu,Wei"
"Li,Wei","Wang,Lili"
"Ma,Yujie","Zhang,Wei"
"Li,Lei-Lei","Zhang,Wei"
"Hastad,Olle","Wang,Jun"
"Tian,Ying","Graetzel,Michael"
"Zhang,Lei","Jacquemin,Denis"
"Gui,Hai-Yan","Liu,Wei"
"Zhao,Jianwei","Li,Li"
"Zhang,Wei","Ye,You-Liang"
"Wen,Xiaotong","Wang,Wei"
"Li,Li","Pan,Jian-Wei"
"Kiilerich,Pia","Wang,Jun"
"Zhao,Chenhui","Li,Wei"
"Liu,Yang","Liang,Lirong"
"Qiu,Binlong","Li,Wei"
"Zhang,Jing","Sun,Jianmin"
"Rutkowska,IwonaA.","Graetzel,Michael"
"Li,Jun","Yang,Xiao-Ke"
"Zhang,Wei","Chen,Xin-Ping"
"Chen,Gang","Wang,Jun"
"Wang,Jun","Whitten,Tony"
"Liu,Yang","Du,Sisi"
"Zhang,Wei","Jiang,Jian-Jun"
"Hu,Xiao","Liu,Wei"
"Zhang,Jing","Guo,Qing"
"Zhang,Jing","Yang,Zhou"
"Wang,Jun","Huang,Sanwen"
"Zhou,Minghao","Li,Wei"
"Wang,Xiaotong","Li,Li"
"Li,Jing","Wo,Ying"
"Wang,Wei","Jiang,Hao-Bo"
"Li,Wei","Jiang,Ping"
"Wang,Jing","Xu,Yanwen"
"He,Zheng-Quan","Li,Jing"
"Jiao,Guanyi","Li,Wei"
"Zhang,Haonan","Liu,Wei"
"Zhang,Jing","Li,Gang"
"Li,Yuwei","Wang,Xin"
"Liu,Mingbin","Zhang,Wei"
"Zhang,Lei","Yuan,Guangyin"
"Tao,Yonghui","Zhang,Lei"
"Zhang,Lei","Chen,Yongzheng"
"Yang,Huanming","Wang,Jun"
"Liu,Wei","Wang,Xiaoling"
"Ayyampalayam,Saravanaraj","Wang,Jun"
"Li,Wei","Gao,Li-Zhi"
"Li,Xin","Shen,Heping"
"Zhang,Lei","Barlow,KyleA."
"Yan,Xiaoping","Li,Li"
"Gu,Tiantian","Li,Xin"
"Zhang,Shuting","Liu,Yang"
"Li,Yan","Zhao,Chen-Long"
"Zhang,Lei","Zheng,Xiaoqin"
"Ding,Dong-Sheng","Li,Yan"
"Zhang,Kuo","Zhang,Lei"
"Xu,Shi-Yao","Wang,Wei"
"Zhang,Ying-Shan","Chen,Wei"
"Shen,Fei","Li,Yan"
"Wang,Jun","McQuinn,Ryan"
"Wang,Jinxin","Zhang,Jing"
"Gao,Jixing","Zhang,Yi"
"Liu,Wei","Wang,Ming-Wei"
"Li,Li","Li,Hui"
"Zhou,Ming","Li,Jing"
"Yuan,Hui","Wang,Jun"
"Gurmesa,GeshereA.","Zhang,Wei"
"Li,Jing","Yang,Ye"
"Wang,Jing","Nie,Lixiao"
"Wang,Jing","Zi,Chen"
"Liu,Wei","Zhang,Zhe"
"Li,Gangping","Zhang,Lei"
"Li,Wei","Wang,Lichang"
"Yu,Hua-Gen","Li,Jun"
"Li,Yan","Harper,Thomas"
"Wang,Jun","Huang,Minyun"
"Li,Wei","Huang,Lihong"
"Li,Jun","Wang,Shengyue"
"Zhang,Lei",XieJiehong
"Zeng,Guangming","Ren,Xiaoya"
"Li,Li","Shang,Peng"
"Wang,Xin","Liu,Jiang"
"Zhang,Lei","Zhong,Hairong"
"Tscharntke,Teja","Zhang,Wei"
"Sun,Ranran","Wang,Wei"
"Ci,Weimin","Li,Wei"
"Chen,Jianghao","Wang,Jun"
"Xie,Yongshu","Li,Xin"
"Li,Jun","Yang,Zhongqin"
"Wang,Xin","Ning,Zhijun"
"Zhang,Jing","Geng,Wenqing"
"Xiang,Dao","Wang,Xin"
"Ke,Fushi","Wang,Jun"
"Wang,Xin","Ye,Tao"
"Wang,Jing","Ou,Yunbo"
"Wang,Wei","Fu,Wenjing"
"Zhang,Wei","Park,PeterJ."
"Graetzel,Michael","Thampi,K.Ravindranathan"
"Wang,Xin","Sun,Yanan"
"Wang,Jing","Ji,Shuai-Hua"
"Zhang,Kun","Li,Jing"
"Li,Li","He,Bing"
"Li,Yan","Chen,Bingbing"
"Li,Wei","Jeon,Seokmin"
"Zhang,Lei","Jiang,Hualiang"
"Wu,Wenjun","Li,Jing"
"Wang,Li","Zhang,Wei"
"Wang,Jun","Wang,Meirong"
"Lee,Chul","Wang,Jun"
"Zhang,Zhuqiang","Zhang,Jing"
"Lu,Jianfeng","Chen,Wei"
"Cui,Jie","Liu,Yang"
"Ma,Xiaoli","Wang,Jun"
"Liu,Di","Li,Wei"
"Li,Kui","Li,Wei"
"Schneider,RalfF.","Wang,Xin"
"Zhang,Wei","Huo,Xiang"
"Huang,Lan","Zhang,Yi"
"Zhang,Lei","Sui,Yuan"
"Li,Jun","Jiang,Haoyu"
"Zhang,Wei","Schmidt,HeatherK."
"Liu,Wei","Xiong,Xingjiang"
"Wang,Jun","Prins,Marcel"
"Liu,Yang","Xiao,Tiqiao"
"Wang,Jing","Lu,Shuihua"
"Wang,Wei","Lovell,DanielJ."
"Zhang,Wei","Trevisan,FelipeAmstalden"
"Li,Xiaojing","Wang,Jun"
"Liu,Yang","Bao,Yan-Yuan"
"Chen,Hu","Li,Jun"
"Zhang,Wei","Graetzel,Michael"
"Zhang,Wei","Graetzel,Michael"
"Li,Jing","Yao,Hong-Wu"
"Zhang,Jing","Tian,Yu"
"Wang,Xin","Tang,Jianwu"
"Li,Xin","Li,Tian-Da"
"Zhang,Lei","Yang,Ruixin"
