source,target
Univ Manchester,Univ Sci & Technol China
Tongji Univ,Xiamen Univ
Tongji Univ,Shandong Univ
Tongji Univ,China Univ Geosci
Tongji Univ,Dalhousie Univ
Tongji Univ,Univ Paris 06
Tongji Univ,Chinese Acad Sci
Tongji Univ,Univ E Anglia
Xiamen Univ,Shandong Univ
Xiamen Univ,China Univ Geosci
Xiamen Univ,Dalhousie Univ
Xiamen Univ,Univ Paris 06
Xiamen Univ,Chinese Acad Sci
Xiamen Univ,Univ E Anglia
Shandong Univ,China Univ Geosci
Shandong Univ,Dalhousie Univ
Shandong Univ,Univ Paris 06
Shandong Univ,Chinese Acad Sci
Shandong Univ,Univ E Anglia
China Univ Geosci,Dalhousie Univ
China Univ Geosci,Univ Paris 06
China Univ Geosci,Chinese Acad Sci
China Univ Geosci,Univ E Anglia
Dalhousie Univ,Univ Paris 06
Dalhousie Univ,Chinese Acad Sci
Dalhousie Univ,Univ E Anglia
Univ Paris 06,Chinese Acad Sci
Univ Paris 06,Univ E Anglia
Chinese Acad Sci,Univ E Anglia
Peking Univ,Univ Penn
Peking Univ,Chinese Acad Sci
Univ Penn,Chinese Acad Sci
Tsinghua Univ,Natl Inst Biol Sci
Zhejiang Univ,Univ Copenhagen
Zhejiang Univ,SKLRD
Univ Copenhagen,SKLRD
Chinese Res Inst Environm Sci,North China Elect Power Univ
Univ Sci & Technol China,Arizona State Univ
Xiamen Univ,Univ La Laguna
Xiamen Univ,CALTECH
Xiamen Univ,Univ Chinese Acad Sci
Xiamen Univ,Chinese Acad Sci
Xiamen Univ,Inst Astrofis Canarias
Xiamen Univ,Harvard Smithsonian Ctr Astrophys
Univ La Laguna,CALTECH
Univ La Laguna,Univ Chinese Acad Sci
Univ La Laguna,Chinese Acad Sci
Univ La Laguna,Inst Astrofis Canarias
Univ La Laguna,Harvard Smithsonian Ctr Astrophys
CALTECH,Univ Chinese Acad Sci
CALTECH,Chinese Acad Sci
CALTECH,Inst Astrofis Canarias
CALTECH,Harvard Smithsonian Ctr Astrophys
Univ Chinese Acad Sci,Chinese Acad Sci
Univ Chinese Acad Sci,Inst Astrofis Canarias
Univ Chinese Acad Sci,Harvard Smithsonian Ctr Astrophys
Chinese Acad Sci,Inst Astrofis Canarias
Chinese Acad Sci,Harvard Smithsonian Ctr Astrophys
Inst Astrofis Canarias,Harvard Smithsonian Ctr Astrophys
Chinese Acad Sci,Univ Sci & Technol Beijing
Minist Environm Protect,US EPA
Univ Hawaii,Shanghai Jiao Tong Univ
Univ Hawaii,Univ Cambridge
Univ Hawaii,Shanghai Univ Tradit Chinese Med
Shanghai Jiao Tong Univ,Univ Cambridge
Shanghai Jiao Tong Univ,Shanghai Univ Tradit Chinese Med
Univ Cambridge,Shanghai Univ Tradit Chinese Med
Macau Univ Sci & Technol,Guangzhou Univ Chinese Med
Macau Univ Sci & Technol,Univ Houston
Macau Univ Sci & Technol,Southern Med Univ
Guangzhou Univ Chinese Med,Univ Houston
Guangzhou Univ Chinese Med,Southern Med Univ
Univ Houston,Southern Med Univ
Hallam Inst Chinese Med,Beijing Univ Chinese Med
Univ Maryland,Univ Hong Kong
Univ Maryland,Univ Calif Irvine
Univ Hong Kong,Univ Calif Irvine
Beijing Genom Inst BGI Shenzhen,Xiamen Univ
Beijing Genom Inst BGI Shenzhen,Univ Connecticut
Beijing Genom Inst BGI Shenzhen,Univ Calif Los Angeles
Beijing Genom Inst BGI Shenzhen,Univ Copenhagen
Beijing Genom Inst BGI Shenzhen,Univ Montreal
Beijing Genom Inst BGI Shenzhen,James D Watson Inst Genome Sci
Beijing Genom Inst BGI Shenzhen,King Abdulaziz Univ
Beijing Genom Inst BGI Shenzhen,Agcy Sci Technol & Res
Beijing Genom Inst BGI Shenzhen,Univ Hong Kong
Xiamen Univ,Univ Connecticut
Xiamen Univ,Univ Calif Los Angeles
Xiamen Univ,Univ Copenhagen
Xiamen Univ,Univ Montreal
Xiamen Univ,James D Watson Inst Genome Sci
Xiamen Univ,King Abdulaziz Univ
Xiamen Univ,Agcy Sci Technol & Res
Xiamen Univ,Univ Hong Kong
Univ Connecticut,Univ Calif Los Angeles
Univ Connecticut,Univ Copenhagen
Univ Connecticut,Univ Montreal
Univ Connecticut,James D Watson Inst Genome Sci
Univ Connecticut,King Abdulaziz Univ
Univ Connecticut,Agcy Sci Technol & Res
Univ Connecticut,Univ Hong Kong
Univ Calif Los Angeles,Univ Copenhagen
Univ Calif Los Angeles,Univ Montreal
Univ Calif Los Angeles,James D Watson Inst Genome Sci
Univ Calif Los Angeles,King Abdulaziz Univ
Univ Calif Los Angeles,Agcy Sci Technol & Res
Univ Calif Los Angeles,Univ Hong Kong
Univ Copenhagen,Univ Montreal
Univ Copenhagen,James D Watson Inst Genome Sci
Univ Copenhagen,King Abdulaziz Univ
Univ Copenhagen,Agcy Sci Technol & Res
Univ Copenhagen,Univ Hong Kong
Univ Montreal,James D Watson Inst Genome Sci
Univ Montreal,King Abdulaziz Univ
Univ Montreal,Agcy Sci Technol & Res
Univ Montreal,Univ Hong Kong
James D Watson Inst Genome Sci,King Abdulaziz Univ
James D Watson Inst Genome Sci,Agcy Sci Technol & Res
James D Watson Inst Genome Sci,Univ Hong Kong
King Abdulaziz Univ,Agcy Sci Technol & Res
King Abdulaziz Univ,Univ Hong Kong
Agcy Sci Technol & Res,Univ Hong Kong
Hunan Univ Commerce,Cent S Univ
Tsinghua Univ,Univ Bergen
Tsinghua Univ,Mt Sinai Sch Med
Tsinghua Univ,Johns Hopkins Univ
Tsinghua Univ,Salk Inst Biol Studies
Tsinghua Univ,Case Western Reserve Univ
Tsinghua Univ,Jiangsu Normal Univ
Tsinghua Univ,Dalhousie Univ
Tsinghua Univ,Indiana Univ
Tsinghua Univ,Univ Calif San Diego
Tsinghua Univ,Chinese Acad Sci
Tsinghua Univ,VA San Diego Healthcare Syst
Univ Bergen,Mt Sinai Sch Med
Univ Bergen,Johns Hopkins Univ
Univ Bergen,Salk Inst Biol Studies
Univ Bergen,Case Western Reserve Univ
Univ Bergen,Jiangsu Normal Univ
Univ Bergen,Dalhousie Univ
Univ Bergen,Indiana Univ
Univ Bergen,Univ Calif San Diego
Univ Bergen,Chinese Acad Sci
Univ Bergen,VA San Diego Healthcare Syst
Mt Sinai Sch Med,Johns Hopkins Univ
Mt Sinai Sch Med,Salk Inst Biol Studies
Mt Sinai Sch Med,Case Western Reserve Univ
Mt Sinai Sch Med,Jiangsu Normal Univ
Mt Sinai Sch Med,Dalhousie Univ
Mt Sinai Sch Med,Indiana Univ
Mt Sinai Sch Med,Univ Calif San Diego
Mt Sinai Sch Med,Chinese Acad Sci
Mt Sinai Sch Med,VA San Diego Healthcare Syst
Johns Hopkins Univ,Salk Inst Biol Studies
Johns Hopkins Univ,Case Western Reserve Univ
Johns Hopkins Univ,Jiangsu Normal Univ
Johns Hopkins Univ,Dalhousie Univ
Johns Hopkins Univ,Indiana Univ
Johns Hopkins Univ,Univ Calif San Diego
Johns Hopkins Univ,Chinese Acad Sci
Johns Hopkins Univ,VA San Diego Healthcare Syst
Salk Inst Biol Studies,Case Western Reserve Univ
Salk Inst Biol Studies,Jiangsu Normal Univ
Salk Inst Biol Studies,Dalhousie Univ
Salk Inst Biol Studies,Indiana Univ
Salk Inst Biol Studies,Univ Calif San Diego
Salk Inst Biol Studies,Chinese Acad Sci
Salk Inst Biol Studies,VA San Diego Healthcare Syst
Case Western Reserve Univ,Jiangsu Normal Univ
Case Western Reserve Univ,Dalhousie Univ
Case Western Reserve Univ,Indiana Univ
Case Western Reserve Univ,Univ Calif San Diego
Case Western Reserve Univ,Chinese Acad Sci
Case Western Reserve Univ,VA San Diego Healthcare Syst
Jiangsu Normal Univ,Dalhousie Univ
Jiangsu Normal Univ,Indiana Univ
Jiangsu Normal Univ,Univ Calif San Diego
Jiangsu Normal Univ,Chinese Acad Sci
Jiangsu Normal Univ,VA San Diego Healthcare Syst
Dalhousie Univ,Indiana Univ
Dalhousie Univ,Univ Calif San Diego
Dalhousie Univ,Chinese Acad Sci
Dalhousie Univ,VA San Diego Healthcare Syst
Indiana Univ,Univ Calif San Diego
Indiana Univ,Chinese Acad Sci
Indiana Univ,VA San Diego Healthcare Syst
Univ Calif San Diego,Chinese Acad Sci
Univ Calif San Diego,VA San Diego Healthcare Syst
Chinese Acad Sci,VA San Diego Healthcare Syst
Tsinghua Univ,Univ Calif Riverside
Tsinghua Univ,Univ Wisconsin
Tsinghua Univ,Univ Chicago
Tsinghua Univ,Fudan Univ
Tsinghua Univ,Chinese Acad Sci
Univ Calif Riverside,Univ Wisconsin
Univ Calif Riverside,Univ Chicago
Univ Calif Riverside,Fudan Univ
Univ Calif Riverside,Chinese Acad Sci
Univ Wisconsin,Univ Chicago
Univ Wisconsin,Fudan Univ
Univ Wisconsin,Chinese Acad Sci
Univ Chicago,Fudan Univ
Univ Chicago,Chinese Acad Sci
Fudan Univ,Chinese Acad Sci
Chinese Acad Sci,Tsinghua Univ
Chinese Acad Sci,Peking Univ
Chinese Acad Sci,Collaborat Innovat Ctr Quantum Matter
Tsinghua Univ,Peking Univ
Tsinghua Univ,Collaborat Innovat Ctr Quantum Matter
Peking Univ,Collaborat Innovat Ctr Quantum Matter
Tsinghua Univ,Chinese Acad Sci
Tsinghua Univ,Collaborat Innovat Ctr Canc Med
Tsinghua Univ,Natl Inst Biol Sci
Chinese Acad Sci,Collaborat Innovat Ctr Canc Med
Chinese Acad Sci,Natl Inst Biol Sci
Collaborat Innovat Ctr Canc Med,Natl Inst Biol Sci
Inst Cultural Rel & Archaeol,Cultural Rel Adm Daoxian Cty
Inst Cultural Rel & Archaeol,UCL Anthropol
Inst Cultural Rel & Archaeol,Univ Burgos
Inst Cultural Rel & Archaeol,Univ Utrecht
Inst Cultural Rel & Archaeol,Peking Univ
Inst Cultural Rel & Archaeol,Leiden Univ
Inst Cultural Rel & Archaeol,Xi An Jiao Tong Univ
Inst Cultural Rel & Archaeol,Chinese Acad Sci
Inst Cultural Rel & Archaeol,Univ Minnesota
Inst Cultural Rel & Archaeol,Ctr Nacl Invest Evoluc Humana CENIEH
Cultural Rel Adm Daoxian Cty,UCL Anthropol
Cultural Rel Adm Daoxian Cty,Univ Burgos
Cultural Rel Adm Daoxian Cty,Univ Utrecht
Cultural Rel Adm Daoxian Cty,Peking Univ
Cultural Rel Adm Daoxian Cty,Leiden Univ
Cultural Rel Adm Daoxian Cty,Xi An Jiao Tong Univ
Cultural Rel Adm Daoxian Cty,Chinese Acad Sci
Cultural Rel Adm Daoxian Cty,Univ Minnesota
Cultural Rel Adm Daoxian Cty,Ctr Nacl Invest Evoluc Humana CENIEH
UCL Anthropol,Univ Burgos
UCL Anthropol,Univ Utrecht
UCL Anthropol,Peking Univ
UCL Anthropol,Leiden Univ
UCL Anthropol,Xi An Jiao Tong Univ
UCL Anthropol,Chinese Acad Sci
UCL Anthropol,Univ Minnesota
UCL Anthropol,Ctr Nacl Invest Evoluc Humana CENIEH
Univ Burgos,Univ Utrecht
Univ Burgos,Peking Univ
Univ Burgos,Leiden Univ
Univ Burgos,Xi An Jiao Tong Univ
Univ Burgos,Chinese Acad Sci
Univ Burgos,Univ Minnesota
Univ Burgos,Ctr Nacl Invest Evoluc Humana CENIEH
Univ Utrecht,Peking Univ
Univ Utrecht,Leiden Univ
Univ Utrecht,Xi An Jiao Tong Univ
Univ Utrecht,Chinese Acad Sci
Univ Utrecht,Univ Minnesota
Univ Utrecht,Ctr Nacl Invest Evoluc Humana CENIEH
Peking Univ,Leiden Univ
Peking Univ,Xi An Jiao Tong Univ
Peking Univ,Chinese Acad Sci
Peking Univ,Univ Minnesota
Peking Univ,Ctr Nacl Invest Evoluc Humana CENIEH
Leiden Univ,Xi An Jiao Tong Univ
Leiden Univ,Chinese Acad Sci
Leiden Univ,Univ Minnesota
Leiden Univ,Ctr Nacl Invest Evoluc Humana CENIEH
Xi An Jiao Tong Univ,Chinese Acad Sci
Xi An Jiao Tong Univ,Univ Minnesota
Xi An Jiao Tong Univ,Ctr Nacl Invest Evoluc Humana CENIEH
Chinese Acad Sci,Univ Minnesota
Chinese Acad Sci,Ctr Nacl Invest Evoluc Humana CENIEH
Univ Minnesota,Ctr Nacl Invest Evoluc Humana CENIEH
Tsinghua Univ,Sichuan Univ
Tsinghua Univ,Natl Inst Biol Sci
Tsinghua Univ,Collaborat Innovat Ctr Biotherapy
Sichuan Univ,Natl Inst Biol Sci
Sichuan Univ,Collaborat Innovat Ctr Biotherapy
